NO,규격,스펙,수량,위치,MPN,제조사
1,저항,10K 0402,10,R1-R10,RC0402FR-0710KL,Yageo
2,저항,4.7K 0603,5,R11-R15,RC0603FR-074K7L,Yageo
3,콘덴서,100nF 0805 16V,8,C1-C8,CL21B104KBCNNNC,Samsung
4,콘덴서,10uF 1206 25V,4,C9-C12,GRM31CR61E106KA12L,Murata
5,전해콘덴서,470uF/16V Radial,2,C13-C14,ECA-1CM471,Panasonic
6,IC,STM32F103C8T6,1,U1,STM32F103C8T6,ST
7,IC,LM7805 TO-220,1,U2,LM7805CT,ON Semi
8,LED,Red 0805,5,LED1-LED5,LTST-C171KRKT,Lite-On
9,커넥터,2.54mm Pin Header 10P,2,J1-J2,PH1-10-UA,Samtec
10,다이오드,1N4148 SOD-323,3,D1-D3,1N4148WS,ON Semi
11,트랜지스터,2N2222 SOT-23,2,Q1-Q2,MMBT2222A,ON Semi
12,인덕터,10uH 1210,1,L1,MLZ3215N100LT000,TDK
13,크리스탈,8MHz HC49,1,Y1,ABLS-8.000MHZ-B4-T,Abracon
14,퓨즈,500mA SMD 1206,1,F1,0685P0500-01,Bel Fuse
15,저항,100R 0402 1%,20,R16-R35,RC0402FR-07100RL,Yageo
